Period,Concern,Count
Before Politico Leak,Cost,1870
Before Politico Leak,Timeline,21845
Before Politico Leak,Accessibility,17997
Before Politico Leak,Legality,13924
Before Politico Leak,Support/Advice,18095
Before Politico Leak,Political,90
Between Politico Leak and SCOTUS Decision,Cost,1797
Between Politico Leak and SCOTUS Decision,Timeline,21251
Between Politico Leak and SCOTUS Decision,Accessibility,17501
Between Politico Leak and SCOTUS Decision,Legality,14026
Between Politico Leak and SCOTUS Decision,Support/Advice,17564
Between Politico Leak and SCOTUS Decision,Political,168
After SCOTUS Decision,Cost,2690
After SCOTUS Decision,Timeline,28934
After SCOTUS Decision,Accessibility,26798
After SCOTUS Decision,Legality,22745
After SCOTUS Decision,Support/Advice,28557
After SCOTUS Decision,Political,220
